city_code,date,aqi,co,no2,o3,pm10,pm25,qlty,so2,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_dir,wind_sc,wind_spd,sug_comf_brf,sug_cw_brf,sug_drsg_brf,sug_flu_brf,sug_sport_brf,sug_trav_brf,sug_uv_brf
CN101271901,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阴,7,64,0,1012,16,8,北风,微风,9,舒适,不宜,较冷,极易发,较不宜,适宜,最弱
CN101271902,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,19,52,0,1006,28,8,西风,5-6,33,较舒适,不宜,热,少发,较不宜,较不宜,弱
CN101271903,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,19,43,0,1006,27,8,西南风,4-5,19,较舒适,不宜,舒适,较易发,较不宜,一般,最弱
CN101271904,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,19,70,0,1006,24,8,东风,5-6,30,舒适,不宜,舒适,易发,较不宜,较不宜,最弱
CN101271905,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,18,82,1.2,1010,16,10,西北风,4-5,23,舒适,不宜,较舒适,极易发,较不宜,一般,最弱
CN101271906,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,18,80,0,1010,22,10,南风,4-5,20,舒适,不宜,较舒适,易发,较不宜,一般,最弱
CN101271907,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,25,60,0,1009,24,9,北风,3-4,14,舒适,不宜,较舒适,易发,较不宜,一般,最弱
CN101271908,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,20,65,0,1008,20,9,西南风,3-4,14,舒适,不宜,舒适,较易发,较不宜,一般,最弱
CN101271909,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,15,71,0,1010,21,10,南风,4-5,19,舒适,不宜,较舒适,较易发,较不宜,一般,最弱
CN101271910,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,25,64,0,1009,20,9,西北风,4-5,23,舒适,不宜,较舒适,易发,较不宜,一般,最弱
CN101271911,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,13,61,0,1011,18,5,东风,4-5,23,舒适,不宜,较舒适,较易发,较不宜,适宜,最弱
CN101271912,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,12,82,0.1,1012,12,7,东风,5-6,33,舒适,不宜,较冷,极易发,较不宜,一般,最弱
CN101271913,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,9,82,0.3,1012,12,7,东北风,4-5,21,舒适,不宜,较冷,极易发,较不宜,一般,最弱
CN101272001,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,86,0,1004,26,10,西北风,4-5,21,较舒适,不宜,舒适,极易发,较不宜,较不宜,最弱
CN101272002,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,70,0,1004,29,10,西北风,3-4,15,较舒适,不宜,热,较易发,较不宜,一般,弱
CN101272003,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,93,0,1004,26,10,西北风,4-5,24,较舒适,不宜,舒适,极易发,较不宜,较不宜,最弱
CN101272004,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,95,0.2,1004,25,10,西南风,3-4,10,较舒适,不宜,舒适,极易发,较不宜,较不宜,最弱
CN101272005,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,96,0,1004,24,10,北风,4-5,19,较舒适,不宜,舒适,极易发,较不宜,较不宜,最弱
CN101272006,2016-07-22,39,NULL,NULL,NULL,10,13,优,NULL,阵雨,31,86,0,1004,26,10,西北风,4-5,17,较舒适,不宜,舒适,极易发,较不宜,较不宜,最弱
CN101272101,2016-07-22,58,NULL,NULL,NULL,63,15,良,NULL,阵雨,34,64,0,1003,28,10,西风,5-6,30,较不舒适,不宜,热,较易发,较不宜,适宜,弱
CN101272102,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,35,60,0,1003,30,10,东风,4-5,18,较不舒适,不宜,热,少发,较不宜,适宜,中等
CN101272103,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,31,81,0,1007,24,7,东风,3-4,11,较舒适,不宜,舒适,易发,较不宜,较不宜,最弱
CN101272104,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,32,68,0,1003,27,9,北风,4-5,21,较舒适,不宜,热,少发,较不宜,一般,弱
CN101272105,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,36,65,0,1001,30,9,西北风,5-6,31,较不舒适,不宜,热,少发,较不宜,适宜,中等
CN101140101,2016-07-22,37,0,8,94,23,15,优,8,阴,16,46,0,1009,20,5,西风,5-6,29,舒适,不宜,较舒适,较易发,较适宜,适宜,最弱
CN101140102,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阵雨,16,58,0,1009,15,5,东风,4-5,21,舒适,不宜,较舒适,较易发,较不宜,适宜,最弱
CN101140103,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,多云,9,46,0,1010,18,10,南风,4-5,22,舒适,不宜,较舒适,较易发,较不宜,适宜,最弱
CN101140104,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阵雨,16,59,0,1009,19,5,东南风,4-5,21,舒适,不宜,较冷,较易发,较适宜,适宜,最弱
CN101140105,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阴,16,43,0,1009,20,5,南风,3-4,14,舒适,不宜,较冷,较易发,较适宜,适宜,最弱
CN101140106,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阴,16,55,0,1010,20,9,东南风,4-5,18,舒适,不宜,较冷,较易发,较适宜,适宜,最弱
CN101140107,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阴,16,50,0,1009,20,5,西风,4-5,20,舒适,不宜,较冷,较易发,较适宜,适宜,最弱
CN101140108,2016-07-22,37,NULL,NULL,NULL,23,15,优,NULL,阴,13,53,0,1009,18,10,东南风,5-6,25,舒适,不宜,较舒适,较易发,较不宜,适宜,弱
CN101140201,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,12,65,0,1010,16,8,东北风,4-5,23,舒适,不宜,较舒适,较易发,较不宜,适宜,弱
CN101140202,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阴,11,61,0,1011,17,9,东南风,4-5,20,舒适,不宜,较舒适,较易发,较适宜,适宜,最弱
CN101140203,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,12,63,0,1010,15,8,西南风,5-6,30,舒适,不宜,较舒适,较易发,较不宜,适宜,最弱
CN101140204,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,16,80,0,1013,11,5,南风,7-8,52,舒适,不宜,较冷,较易发,较不宜,一般,最弱
